"id","type","category","static_score","llm_score","dry_run_score","quality_score","static_issues","llm_suggestion","dry_run_issues"
"transformer_scenario_18","fmsr","Diagnostic Assessment","20","30","50","100","none","None","None"
"transformer_scenario_19","tsfm","Inference Query","16","30","13.3","59.3","unrecognised category 'Inference Query' (known: ['condition analysis', 'condition assessment', 'data query', 'data query and analysis', 'decision support', 'diagnostic assessment', 'health assessment', 'knowledge query', 'prediction', 'predictive maintenance', 'recommendation'])","None","Step 6: Invalid date format; Step 8: 'tsfm_public' module unavailable; Step 2, 4, 7, 9 used 'none' server"
"transformer_scenario_20","tsfm","Anomaly Detection Query","16","30","15","61","unrecognised category 'Anomaly Detection Query' (known: ['condition analysis', 'condition assessment', 'data query', 'data query and analysis', 'decision support', 'diagnostic assessment', 'health assessment', 'knowledge query', 'prediction', 'predictive maintenance', 'recommendation'])","None","[""step 3 used unknown server 'none'"", ""step 3 resulted in ERROR(Unknown server 'none'. Registered servers: ['iot', 'utilities', 'fmsr', 'tsfm', 'wo', 'vibration'])"", 'The final answer indicates no data was retrieved, contradicting the successful data retrieval in step 1']"
"transformer_scenario_21","tsfm","Inference Query","16","30","12.9","58.9","unrecognised category 'Inference Query' (known: ['condition analysis', 'condition assessment', 'data query', 'data query and analysis', 'decision support', 'diagnostic assessment', 'health assessment', 'knowledge query', 'prediction', 'predictive maintenance', 'recommendation'])","None","The final answer indicates multiple errors, step 4 had invalid args, steps 5 and 7 used json_reader incorrectly on a csv file, and the trajectory result is ERROR or none-server"
"transformer_scenario_22","tsfm","Anomaly Detection Query","16","30","22.4","68.4","unrecognised category 'Anomaly Detection Query' (known: ['condition analysis', 'condition assessment', 'data query', 'data query and analysis', 'decision support', 'diagnostic assessment', 'health assessment', 'knowledge query', 'prediction', 'predictive maintenance', 'recommendation'])","None","The final answer indicates an error in the anomaly detection step due to missing parameters, step 4 used incorrect args for run_integrated_tsad as dataset_path is empty"
"transformer_scenario_23","tsfm","Inference Query","16","30","16.9","62.9","unrecognised category 'Inference Query' (known: ['condition analysis', 'condition assessment', 'data query', 'data query and analysis', 'decision support', 'diagnostic assessment', 'health assessment', 'knowledge query', 'prediction', 'predictive maintenance', 'recommendation'])","None","['none' server used in steps 3, 6, 8; ERROR in steps 6, 8; final answer indicates task was not completed successfully]"
"transformer_scenario_24","tsfm","Anomaly Detection Query","16","30","24.8","70.8","unrecognised category 'Anomaly Detection Query' (known: ['condition analysis', 'condition assessment', 'data query', 'data query and analysis', 'decision support', 'diagnostic assessment', 'health assessment', 'knowledge query', 'prediction', 'predictive maintenance', 'recommendation'])","None","Step 6 used 'none' server which is incorrect, and resulted in an error. The final answer indicates failure due to validation errors in the input parameters for the anomaly detection tool."
"transformer_scenario_25","tsfm","Inference Query","16","30","15","61","unrecognised category 'Inference Query' (known: ['condition analysis', 'condition assessment', 'data query', 'data query and analysis', 'decision support', 'diagnostic assessment', 'health assessment', 'knowledge query', 'prediction', 'predictive maintenance', 'recommendation'])","None","The final answer indicates multiple errors and failure, contradicting the OK status of all trajectory steps; step 4 has invalid args; step 5 and 6 have mismatched file names"
"transformer_scenario_26","tsfm","Anomaly Detection Query","16","30","24.8","70.8","unrecognised category 'Anomaly Detection Query' (known: ['condition analysis', 'condition assessment', 'data query', 'data query and analysis', 'decision support', 'diagnostic assessment', 'health assessment', 'knowledge query', 'prediction', 'predictive maintenance', 'recommendation'])","None","['step 6 used incorrect server none', 'required parameters missing for tsfm.run_integrated_tsad in step 5', 'final answer indicates failure to complete task due to error']"
"transformer_scenario_27","wo","Knowledge Query","20","30","46.2","96.2","none","None","The first step used iot.get_sites with an irrelevant argument 'Transformer 1', it should have retrieved sites without specifying 'Transformer 1'. Step 4 is a duplicate of step 3."
"transformer_scenario_28","wo","Knowledge Query","20","30","50","100","none","None","The first step in the trajectory used 'known site' instead of retrieving the actual asset ID for Transformer 1, but it didn't cause a failure; redundant repeated steps for retrieving corrective work orders"
"transformer_scenario_29","wo","Prediction","20","30","30","80","none","None","The final answer contradicts the successful execution of steps in the trajectory, indicating a potential logical inconsistency or incorrect interpretation of the results."
"transformer_scenario_30","wo","Decision Support","20","30","20.2","70.2","none","None","step 3 used 'wo.none' which is not a valid tool; the final answer contradicts the successful outcomes of steps 1 and 2 in the trajectory"
"transformer_scenario_31","wo","Knowledge Query","20","30","30","80","none","None","The final answer contradicts the trajectory: step 1 was successful, so the equipment ID was identified, but the final answer states it was not."
"transformer_scenario_32","multiagent","Diagnostic Assessment","20","20","15","55","none","The task text should specify the exact sensor names or IDs for acetylene, hydrogen, and oxygen.","[""Step 2 used 'none' server"", 'Step 4 result was not used correctly in Step 5 due to null values', 'Step 4 had an invalid date format', 'Step 5 had missing input values']"
"transformer_scenario_33","multiagent","Knowledge Query","20","20","40.2","80.2","none","The task text should specify the exact tool names and parameters to be used.","Steps 2 and 6 used 'none' server, resulting in errors"
"transformer_scenario_34","multiagent","Data Query","20","4","27.4","51.4","none","The task text is unclear because it does not specify the exact tools or data sources to be used, and the available tools are not provided.","The final answer states that the forecasting step failed, which contradicts the trajectory result that shows step 6 [tsfm.run_tsfm_forecasting] as OK"
"transformer_scenario_35","multiagent","Knowledge Query","20","22","22.5","64.5","none","Provide the tool signatures for iot:get_history and wo:predict_next_work_order","Step 6 used 'none' server, 'none' tool; step 4 and step 5 results indicate potential data issues ('Invalid date format', 'No historical work orders found')"
"transformer_scenario_36","multiagent","Data Query","20","0","20.2","40.2","none","The task cannot be evaluated because no tool signatures are available.","Step 2 used 'iot.none', Step 6 used 'none.' server which resulted in an error, the final answer indicates failure due to non-existent errors in steps 4 and 5"
"transformer_scenario_37","multiagent","Diagnostic Assessment","20","20","15.1","55.1","none","Tool signatures are not provided, making it impossible to assess tool usability.","Steps 2 and 6 used 'none' server, which is incorrect; Step 4 result was reported as OK but final answer indicates an error in retrieving historical values"
"transformer_scenario_38","multiagent","Data Query","20","0","50","70","none","No tools are available to answer the task as '--no-servers' was set.","None"
"transformer_scenario_39","multiagent","Diagnostic Assessment","20","22","41","83","none","Provide the exact tool signatures for the tools mentioned in the characteristic rubric, such as fmsr:assess_winding_temperature, fmsr:get_failure_modes, and iot:get_sensors.","Steps 2, 4, and 10 used 'none' server which is incorrect; however, the overall trajectory still produced a plausible final answer"
"transformer_scenario_40","multiagent","Diagnostic Assessment","20","22","43.4","85.4","none","Provide the tool signatures for fmsr:get_failure_modes, fmsr:get_failure_mode_sensor_mapping, and iot:get_history to assess their usability.","Steps 2 and 4 used 'none' server, resulting in errors"
"transformer_scenario_41","multiagent","Diagnostic Assessment","20","4","15","39","none","The task text is too vague and doesn't specify what 'latest condition data' means or what 'overall condition' entails.","[""step 4 used 'none' server"", 'step 3 had null values for all parameters', 'step 2 assumed a file name without checking the output of step 1', 'final answer mentions errors not present in the trajectory']"
"transformer_scenario_42","multiagent","Knowledge Query","20","4","42.4","66.4","none","The task text and characteristic rubric reference specific tools and namespaces (iot, fmsr) but no tool signatures are provided.","Step 4 used 'none.' server which is not a valid server"
"transformer_scenario_43","multiagent","Knowledge Query","20","22","15","57","none","Provide the tool signatures for iot namespace's get_history and fmsr namespace's assess_load_profile","Step 2 used an invalid server 'none', Step 4 had an invalid date format, Step 5 had null values for required sensor readings"
"transformer_scenario_44","multiagent","Data Query","20","0","13.9","33.9","none","No tool schemas are loaded, making it impossible to assess the task.","['step 2 used none server', 'step 5 used none server', 'step 7 used none server', ""The final answer mentions an error in the 'tsfm' server, but the trajectory shows OK for step 6""]"
"transformer_scenario_45","multiagent","Diagnostic Assessment","20","4","42.5","66.5","none","The task text lacks specificity about what 'latest available condition data' means and how it should be obtained.","step 2 used 'utilities.none' instead of a real tool; step 4 used 'fmsr.none' instead of 'wo.predict_next_work_order'"
"transformer_scenario_46","multiagent","Knowledge Query","20","0","11.3","31.3","none","The task lacks clarity and context due to missing information about the available tools and their signatures.","[""step 2 used unknown server 'none'"", ""step 4 args contain 'final': null which likely caused an invalid date format error, though the result is OK"", 'The final answer indicates the task was not successfully completed']"
"transformer_scenario_47","multiagent","Diagnostic Assessment","20","22","50","92","none","Provide the tool signatures for fmsr and wo namespaces to assess tool usability.","None"
"transformer_scenario_48","multiagent","Data Query","20","0","21","41","none","No tool schemas are loaded, making it impossible to evaluate the task.","['none' server used in step 2, anomaly detection reported failure in final answer despite OK status, missing configuration parameters for anomaly detection model]"
"transformer_scenario_49","multiagent","Knowledge Query","20","4","38.7","62.7","none","The task text and characteristic rubric reference specific tools and namespaces (iot, fmsr) but no tool signatures are provided.","[""step 6 used 'none' server"", ""step 8 used 'none' server""]"
"transformer_scenario_50","multiagent","Diagnostic Assessment","20","0","26.6","46.6","none","The task text and characteristic form reference specific tools (fmsr, wo, interpret_dga, predict_next_work_order) that are not defined among the available tools.","['step 9 used none.none which is not a valid tool', 'The final answer mentions errors in retrieving data, contradicting the trajectory results']"
