"phase","prompt_tokens","completion_tokens","total_tokens","wall_s"
"dry_run","307","17","324","0.492"
"dry_run","616","30","646","0.53"
"dry_run","693","83","776","1.006"
"dry_run","769","88","857","1.161"
"dry_run","1119","69","1188","0.975"
"dry_run","4366","350","4716","3.929"
"dry_run","243","68","311","0.97"
"dry_run","261","8","269","0.339"
"dry_run","317","17","334","0.426"
"dry_run","656","57","713","0.934"
"dry_run","2132","240","2372","3.121"
"dry_run","2480","124","2604","1.707"
"dry_run","1236","72","1308","0.912"
"dry_run","4340","642","4982","7.577"
"dry_run","217","18","235","0.432"
"dry_run","235","8","243","0.342"
"dry_run","295","17","312","0.429"
"dry_run","600","29","629","0.493"
"dry_run","606","16","622","0.925"
"dry_run","695","85","780","1.221"
"dry_run","695","66","761","1.502"
"dry_run","995","72","1067","1.235"
"dry_run","4366","309","4675","3.78"
"dry_run","243","10","253","0.362"
"dry_run","261","8","269","0.343"
"dry_run","319","17","336","0.425"
"dry_run","638","57","695","0.938"
"dry_run","2133","100","2233","1.756"
"dry_run","2411","234","2645","3.672"
"dry_run","1231","74","1305","1.398"
"dry_run","4347","434","4781","4.93"
"dry_run","220","9","229","0.459"
"dry_run","243","8","251","0.339"
"dry_run","320","34","354","0.73"
"dry_run","343","34","377","0.584"
"dry_run","370","28","398","0.623"
"dry_run","841","75","916","1.103"
"dry_run","4341","545","4886","7.668"
"dry_run","222","9","231","0.465"
"dry_run","261","34","295","0.645"
"dry_run","285","34","319","0.746"
"dry_run","309","34","343","0.741"
"dry_run","350","55","405","0.86"
"dry_run","916","73","989","1"
"dry_run","4353","206","4559","2.297"
"dry_run","230","11","241","0.382"
"dry_run","274","34","308","2.738"
"dry_run","288","34","322","0.887"
"dry_run","297","50","347","0.778"
"dry_run","817","60","877","1.075"
"dry_run","4338","325","4663","3.68"
"dry_run","215","10","225","0.349"
"dry_run","245","34","279","0.643"
"dry_run","256","60","316","0.944"
"dry_run","754","73","827","1.135"
"dry_run","4348","123","4471","1.421"
"dry_run","225","10","235","0.375"
"dry_run","270","34","304","0.756"
"dry_run","246","54","300","0.924"
"dry_run","740","64","804","1.02"
"dry_run","4353","320","4673","5.912"
"dry_run","231","8","239","0.37"
"dry_run","296","17","313","0.722"
"dry_run","611","28","639","0.632"
"dry_run","643","37","680","0.713"
"dry_run","929","129","1058","1.598"
"dry_run","1008","80","1088","1.02"
"dry_run","4343","355","4698","5.517"
"dry_run","221","8","229","0.344"
"dry_run","287","17","304","0.394"
"dry_run","575","10","585","0.534"
"dry_run","696","210","906","2.279"
"dry_run","37626","691","38317","9.397"
"dry_run","1773","50","1823","0.765"
"dry_run","4359","351","4710","4.992"
"dry_run","236","10","246","0.946"
"dry_run","254","8","262","0.887"
"dry_run","310","17","327","0.359"
"dry_run","638","39","677","0.768"
"dry_run","2027","16","2043","0.525"
"dry_run","2122","84","2206","1.458"
"dry_run","2379","130","2509","1.954"
"dry_run","1103","68","1171","1.018"
"dry_run","4358","338","4696","4.161"
"dry_run","236","8","244","0.354"
"dry_run","289","8","297","0.28"
"dry_run","351","17","368","0.573"
"dry_run","667","35","702","0.734"
"dry_run","685","10","695","1.037"
"dry_run","783","123","906","1.523"
"dry_run","1019","73","1092","1.806"
"dry_run","4350","337","4687","4.049"
"dry_run","228","8","236","0.273"
"dry_run","300","17","317","0.53"
"dry_run","608","39","647","0.712"
"dry_run","661","129","790","1.574"
"dry_run","709","222","931","2.632"
"dry_run","1199","74","1273","1.123"
"dry_run","4360","365","4725","4.086"
"dry_run","238","8","246","0.38"
"dry_run","303","17","320","1.043"
"dry_run","620","42","662","0.765"
"dry_run","733","108","841","1.344"
"dry_run","822","66","888","1.095"
"dry_run","1086","69","1155","1.119"
"dry_run","4362","383","4745","4.526"
"dry_run","239","10","249","0.347"
"dry_run","257","8","265","0.374"
"dry_run","319","17","336","0.7"
"dry_run","640","39","679","0.733"
"dry_run","2091","98","2189","1.758"
"dry_run","2276","43","2319","0.735"
"dry_run","2438","147","2585","1.886"
"dry_run","1167","46","1213","0.655"
"dry_run","4340","520","4860","5.946"
"dry_run","213","15","228","0.399"
"dry_run","237","8","245","0.45"
"dry_run","302","17","319","1.648"
"dry_run","607","33","640","0.819"
"dry_run","2367","55","2422","0.849"
"dry_run","2541","132","2673","1.797"
"dry_run","2513","10","2523","0.409"
"dry_run","2797","120","2917","1.98"
"dry_run","1359","65","1424","1.021"
"dry_run","4340","499","4839","6.001"
"dry_run","222","11","233","0.406"
"dry_run","237","8","245","0.312"
"dry_run","302","17","319","0.547"
"dry_run","594","10","604","0.314"
"dry_run","713","210","923","2.398"
"dry_run","37571","33","37604","1.492"
"dry_run","39322","54","39376","2.058"
"dry_run","39619","664","40283","8.23"
"dry_run","1966","50","2016","0.828"
"dry_run","4340","403","4743","4.35"
"dry_run","231","28","259","0.6"
"dry_run","242","14","256","0.41"
"dry_run","337","94","431","1.295"
"dry_run","963","78","1041","1.062"
"dry_run","941","82","1023","1.099"
"dry_run","4348","247","4595","3.063"
"dry_run","236","17","253","0.362"
"dry_run","521","10","531","0.37"
"dry_run","642","144","786","1.876"
"dry_run","4681","157","4838","1.892"
"dry_run","1081","49","1130","1.328"
"dry_run","4353","745","5098","8.474"
"dry_run","231","8","239","0.331"
"dry_run","298","17","315","0.523"
"dry_run","638","29","667","0.623"
"dry_run","670","77","747","1.159"
"dry_run","1225","143","1368","1.891"
"dry_run","1102","64","1166","0.918"
"dry_run","4363","390","4753","4.464"
"dry_run","241","8","249","0.331"
"dry_run","307","17","324","0.425"
"dry_run","630","39","669","0.716"
"dry_run","2084","101","2185","1.265"
"dry_run","2220","216","2436","2.438"
"dry_run","1312","88","1400","1.227"
"dry_run","4341","656","4997","7.853"
"dry_run","232","34","266","0.635"
"dry_run","2079","136","2215","1.885"
"dry_run","2064","59","2123","1.503"
"dry_run","914","68","982","1.075"
"dry_run","4341","587","4928","7.089"
"dry_run","220","8","228","0.352"
"dry_run","282","17","299","0.523"
"dry_run","589","29","618","0.527"
"dry_run","632","150","782","2.084"
"dry_run","932","81","1013","1.188"
"dry_run","4376","844","5220","9.856"
"dry_run","318","43","361","0.861"
"dry_run","392","22","414","0.45"
"dry_run","416","10","426","0.374"
"dry_run","451","55","506","1.392"
"dry_run","870","36","906","0.821"
"dry_run","4343","556","4899","7.436"
"dry_run","221","8","229","0.476"
"dry_run","286","17","303","0.532"
"dry_run","597","39","636","0.823"
"dry_run","1061","240","1301","3.186"
"dry_run","1366","89","1455","1.346"
"dry_run","1122","64","1186","1.317"
"dry_run","4356","462","4818","5.133"
"dry_run","239","8","247","0.29"
"dry_run","250","8","258","0.404"
"dry_run","308","8","316","0.401"
"dry_run","367","17","384","0.419"
"dry_run","676","39","715","0.667"
"dry_run","1162","134","1296","2.502"
"dry_run","1298","66","1364","0.942"
"dry_run","1229","53","1282","1.343"
"dry_run","4352","492","4844","5.071"
"dry_run","236","8","244","0.367"
"dry_run","292","17","309","0.397"
"dry_run","594","33","627","0.577"
"dry_run","634","42","676","0.629"
"dry_run","720","10","730","0.461"
"dry_run","842","135","977","1.586"
"dry_run","14350","10","14360","0.65"
"dry_run","14379","10","14389","0.818"
"dry_run","14528","125","14653","2.613"
"dry_run","1371","65","1436","1.062"
